priority,model_id,model_name,profile,quantization,total_params_b,active_params_b,weight_gib,min_gpu_count,min_vram_per_gpu_gib,min_total_vram_gib,recommended_total_vram_gib,min_compute_capability,gpu_name_regex,fp8_required,multi_node,interconnect,recommended_layout,min_host_ram_gib,min_disk_gib,context_k,workloads,multimodal,quality_score,throughput_score,min_driver,cuda_runtime,vllm_image,vllm_version,validation_status,license,source,notes,verified_repo,verified_revision,verified_endpoint,verified_at,artifact_params_b,license_id,context_source,attention_kind,kv_elems_per_token_per_layer,attention_layers,attention_basis,has_recipe
100,deepseek-r1-bf16,DeepSeek-R1,BF16完整精度,BF16,671,37,1275,8,192,1450,1536,9.0,,false,false,NVLink/NVSwitch,TP=8,1536,1600,160,reasoning;general;coding,false,98,35,575.51.03,12.9,vllm/vllm-openai:v0.24.0-cu129,0.24.0,candidate,MIT,https://huggingface.co/deepseek-ai/DeepSeek-R1,容量按BF16权重加运行余量估算；上线前锁定模型revision、parser和镜像SHA256；上下文取自仓库 config.json(163840),unsloth/DeepSeek-R1-BF16,7d1258fb7f49406f05eba49394f79e76308ab9ce,hf-mirror.com,2026-09-16,684.49,mit,config,mla,576,61,"MLA:kv_lora_rank 512 + qk_rope_head_dim 64,各头共享不乘 2",
95,llama31-405b-bf16,Meta-Llama-3.1-405B-Instruct,BF16完整精度,BF16,405,405,756,8,141,1100,1128,9.0,,false,false,NVLink/NVSwitch,TP=8,1024,1000,128,general;reasoning;english,false,91,25,575.51.03,12.9,vllm/vllm-openai:v0.24.0-cu129,0.24.0,candidate,Llama 3.1 Community,https://huggingface.co/meta-llama/Meta-Llama-3.1-405B-Instruct,"需接受Llama许可证；BF16更重且吞吐低，适合质量基准而非性价比部署；上下文:官方模型卡标称 128K;仓库 gated,config.json 无法直取",meta-llama/Meta-Llama-3.1-405B-Instruct,be673f326cab4cd22ccfef76109faf68e41aa5f1,hf-mirror.com,2026-09-16,405.85,llama3.1,card,,,,"config 里缺少 attention 结构字段,无法计算",
90,glm52-int4-a100,GLM-5.2,INT4 A100本地验证栈,INT4,744,,441.7,8,80,600,640,8.0,^NVIDIA A100,false,false,NVLink优先/PCIe可验收,TP=8,512,600,1024,reasoning;coding;agent,false,99,45,570.124.06,12.8,glm52-vllm:0.24.0-pr38476-cu128-native-r570-a100,0.24.1.dev0+PR38476,verified-local,MIT,https://huggingface.co/zai-org/GLM-5.2,仅此A100配置已本地构建验证；必须看到TRITON_MLA_SPARSE；宿主无需CUDA Toolkit；上下文取自仓库 config.json(1048576),cyankiwi/GLM-5.2-AWQ-INT4,956f4d228e36c95f66a80058fe64b69af67360ca,hf-mirror.com,2026-09-16,753.33,mit,config,mla,576,78,"MLA:kv_lora_rank 512 + qk_rope_head_dim 64,各头共享不乘 2",true
85,kimi-k26-awq,Kimi-K2.6,AWQ跨机候选,AWQ,1000,32,554.3,12,48,576,576,8.6,^NVIDIA A40,false,true,同机TP+跨机PP/至少10GbE,TP=2 x PP=6,768,700,256,agent;coding;reasoning,false,97,38,545.0,12.9,xt-vllm:0.24.0-cu129-compat545,0.24.0,provisional-local,Modified MIT,https://huggingface.co/moonshotai,"权重仓库和vLLM parser仍须验证；R545为条件兼容，必须通过compat libcuda与Triton JIT实机验收；上下文取自仓库 config.json(262144)；权重占整机显存 96%,最低/推荐总显存按 12×48GiB 整机计;KV 与并发余量极小",moonshotai/Kimi-K2.6,7eb5002f6aadc958aed6a9177b7ed26bb94011bb,hf-mirror.com,2026-09-16,1026.88,other:modified-mit,config,mla,576,61,"MLA:kv_lora_rank 512 + qk_rope_head_dim 64,各头共享不乘 2",true
80,deepseek-v31-int4,DeepSeek-V3.1,INT4候选,INT4,671,37,370.8,8,48,384,384,8.0,,false,false,NVLink优先/PCIe需压测,TP=8,512,500,160,reasoning;coding;general,false,94,42,575.51.03,12.9,vllm/vllm-openai:v0.24.0-cu129,0.24.0,candidate,MIT,https://huggingface.co/deepseek-ai,"8x48GB极紧，KV和并发空间很小；量化仓库、内核与输出质量须单独验收；上下文取自仓库 config.json(163840)；权重占整机显存 97%,最低/推荐总显存按 8×48GiB 整机计;KV 与并发余量极小",QuantTrio/DeepSeek-V3.1-AWQ,0fdeb8b8b37bfee1dd7feda37cdc57effb1ab480,hf-mirror.com,2026-09-16,684.49,mit,config,mla,576,61,"MLA:kv_lora_rank 512 + qk_rope_head_dim 64,各头共享不乘 2",
76,qwen35-397b-awq-a40,Qwen3.5-397B-A17B,AWQ A40条件兼容档,AWQ,397,17,227.6,8,48,300,384,8.6,^NVIDIA A40,false,true,同机TP+跨机PP/单机PCIe需压测,TP=4 x PP=2,512,350,256,reasoning;coding;general,true,96,58,545.0,12.9,xt-vllm:0.24.0-cu129-compat545,0.24.0,provisional-local,Apache-2.0,https://huggingface.co/QuantTrio/Qwen3.5-397B-A17B-AWQ,"仅A40数据中心卡的cuda-compat条件档；必须实测compat libcuda与Triton JIT；权重下载未完成；上下文取自仓库 config.json(262144)；参数量:该 artifact 未发布 safetensors 参数索引,无法从仓库独立核实,沿用官方标称值",QuantTrio/Qwen3.5-397B-A17B-AWQ,536f95520cb5202283f828e76fdc86afda581e43,hf-mirror.com,2026-09-16,,apache-2.0,config,hybrid-linear,1024,15,"混合线性注意力:60 层里只有 15 层是 full_attention,其余线性层的状态不随上下文增长",true
75,qwen35-397b-awq,Qwen3.5-397B-A17B,AWQ单机8卡原生驱动档,AWQ,397,17,227.6,8,48,300,384,8.0,,false,false,NVLink优先/PCIe需压测,TP=4 x PP=2或TP=8,512,350,256,reasoning;coding;general,true,96,58,575.51.03,12.9,vllm/vllm-openai:v0.24.0-cu129,0.24.0,provisional-local,Apache-2.0,https://huggingface.co/QuantTrio/Qwen3.5-397B-A17B-AWQ,"工作区已规划但权重下载未完成；模型架构、AWQ Marlin、tool/reasoning parser须实机锁定；上下文取自仓库 config.json(262144)；参数量:该 artifact 未发布 safetensors 参数索引,无法从仓库独立核实,沿用官方标称值",QuantTrio/Qwen3.5-397B-A17B-AWQ,536f95520cb5202283f828e76fdc86afda581e43,hf-mirror.com,2026-09-16,,apache-2.0,config,hybrid-linear,1024,15,"混合线性注意力:60 层里只有 15 层是 full_attention,其余线性层的状态不随上下文增长",true
70,minimax-m27-fp8,MiniMax-M2.7,FP8质量优先,FP8,230,10,214.3,8,48,300,384,8.9,,true,false,PCIe可用但TP=8需压测,TP=8,384,350,200,agent;coding,false,93,72,575.51.03,12.9,vllm/vllm-openai:v0.24.0-cu129,0.24.0,candidate,厂商自定义许可(HF: other),https://huggingface.co/MiniMaxAI,仅Ada/Hopper及更新FP8硬件；无同模型冗余；当前工作区最终部署选择的是AWQ双副本而非此档；上下文取自仓库 config.json(204800),MiniMaxAI/MiniMax-M2.7,d494266a4affc0d2995ba1fa35c8481cbd84294b,hf-mirror.com,2026-09-16,228.69,other:other,config,gqa,2048,62,"GQA/MHA:2 x 8 个 KV 头 x 128 维,共 62 层",
65,qwen3-235b-awq,Qwen3-235B-A22B-Instruct-2507,AWQ 4卡,AWQ,235,22,115.5,4,48,176,192,8.0,,false,false,NVLink优先/PCIe可压测,TP=4,256,250,256,general;reasoning;coding,false,92,60,575.51.03,12.9,vllm/vllm-openai:v0.24.0-cu129,0.24.0,candidate,Apache-2.0,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507,"weight_gib为社区AWQ典型估算；选择具体量化仓库后重测精度和磁盘占用；上下文取自仓库 config.json(262144)；模型卡:262,144 原生,可扩展到约 1,010,000",QuantTrio/Qwen3-235B-A22B-Instruct-2507-AWQ,96548f657d772187f16e9f04bc50aec78a9f9cdd,hf-mirror.com,2026-09-16,235.09,apache-2.0,config,gqa,1024,94,"GQA/MHA:2 x 4 个 KV 头 x 128 维,共 94 层",
61,minimax-m27-awq-a40,MiniMax-M2.7,AWQ A40条件兼容单实例,AWQ,230,10,121.3,4,48,145,192,8.6,^NVIDIA A40,false,false,同一PCIe switch优先,TP=4,256,220,192,agent;coding,false,92,88,545.0,12.9,xt-vllm:0.24.0-cu129-compat545,0.24.0,validated-user-workspace,厂商自定义许可(HF: other),https://huggingface.co/QuantTrio/MiniMax-M2.7-AWQ,"仅A40数据中心卡的cuda-compat条件档；必须实测compat libcuda与Triton JIT；量化仓库自标 license_name=modified-mit,但权重许可随官方 MiniMax-M2.7(HF license=other,链接 MiniMax LICENSE),此处以官方为准；上下文取自仓库 config.json(196608)",QuantTrio/MiniMax-M2.7-AWQ,c9f2192c7b81f26f9a257ce73d92122fff0aea3d,hf-mirror.com,2026-09-16,228.69,other,config,gqa,2048,62,"GQA/MHA:2 x 8 个 KV 头 x 128 维,共 62 层",true
60,minimax-m27-awq,MiniMax-M2.7,AWQ原生驱动单实例,AWQ,230,10,121.3,4,48,145,192,8.0,,false,false,同一PCIe switch优先,TP=4,256,220,192,agent;coding,false,92,88,575.51.03,12.9,vllm/vllm-openai:v0.24.0-cu129,0.24.0,validated-user-workspace,厂商自定义许可(HF: other),https://huggingface.co/QuantTrio/MiniMax-M2.7-AWQ,"单实例用4x48GB；8x48GB推荐TP=4双副本；4090等非数据中心卡要求原生R575+；量化仓库自标 license_name=modified-mit,但权重许可随官方 MiniMax-M2.7(HF license=other,链接 MiniMax LICENSE),此处以官方为准；上下文取自仓库 config.json(196608)",QuantTrio/MiniMax-M2.7-AWQ,c9f2192c7b81f26f9a257ce73d92122fff0aea3d,hf-mirror.com,2026-09-16,228.69,other,config,gqa,2048,62,"GQA/MHA:2 x 8 个 KV 头 x 128 维,共 62 层",true
55,qwen35-122b-fp8,Qwen3.5-122B-A10B,FP8双副本单实例,FP8,122,10,118.4,4,48,150,192,8.9,,true,false,PCIe可用,TP=4,256,220,256,general;multimodal;coding,true,89,82,575.51.03,12.9,vllm/vllm-openai:v0.24.0-cu129,0.24.0,candidate,Apache-2.0,https://huggingface.co/Qwen,"型号与仓库revision需上线前确认；8x48GB可部署两个TP=4副本；上下文取自仓库 config.json(262144)；模型卡:262,144 原生,可扩展到约 1,010,000",Qwen/Qwen3.5-122B-A10B-FP8,a099dee70ccfcd8d5dda56aaa0b60cb8ecadabc9,hf-mirror.com,2026-09-16,125.09,apache-2.0,config,hybrid-linear,1024,12,"混合线性注意力:48 层里只有 12 层是 full_attention,其余线性层的状态不随上下文增长",
50,qwen35-122b-awq,Qwen3.5-122B-A10B,AWQ高并发单实例,AWQ,122,10,76.5,2,48,84,96,8.0,,false,false,PCIe可用,TP=2,192,150,256,general;multimodal;coding,true,87,92,575.51.03,12.9,vllm/vllm-openai:v0.24.0-cu129,0.24.0,candidate,Apache-2.0,https://huggingface.co/Qwen,8x48GB理论可布置多个副本；副本数须按KV cache、并发和CPU内存实测确定；上下文取自仓库 config.json(262144),QuantTrio/Qwen3.5-122B-A10B-AWQ,af62f78061dacbebd03825ceae7d675609e66320,hf-mirror.com,2026-09-16,125.09,apache-2.0,config,hybrid-linear,1024,12,"混合线性注意力:48 层里只有 12 层是 full_attention,其余线性层的状态不随上下文增长",
45,qwen3-coder-30b-awq,Qwen3-Coder-30B-A3B-Instruct,AWQ单卡,AWQ,30,3,15.7,1,24,22,24,8.0,,false,false,无需卡间互联,TP=1,64,80,256,coding;agent,false,86,96,570.0,12.8,vllm/vllm-openai:v0.10.2,0.10.2,candidate,Apache-2.0,https://huggingface.co/Qwen,"24GB卡需控制上下文和并发；建议至少64GB主存；镜像CUDA和模型架构须在下载前复核；上下文取自仓库 config.json(262144)；模型卡:262,144 原生,可扩展到约 1M(YaRN)",QuantTrio/Qwen3-Coder-30B-A3B-Instruct-AWQ,c58857a7f41c0920f73d1b56678640f9c02017d7,hf-mirror.com,2026-09-16,30.53,apache-2.0,config,gqa,1024,48,"GQA/MHA:2 x 4 个 KV 头 x 128 维,共 48 层",
40,qwen3-32b-awq,Qwen3-32B,AWQ单卡,AWQ,32,32,18,1,24,22,24,8.0,,false,false,无需卡间互联,TP=1,64,80,128,general;reasoning;coding,false,84,78,570.0,12.8,vllm/vllm-openai:v0.10.2,0.10.2,candidate,Apache-2.0,https://huggingface.co/Qwen/Qwen3-32B,"24GB只是入门容量；长上下文或高并发建议48GB；下载前复核镜像CUDA；上下文:官方模型卡:32,768 原生 / 131,072(需在 config.json 打开 YaRN)",Qwen/Qwen3-32B-AWQ,0499c3ac83fdef8810b907a23894ba91e95eddd8,hf-mirror.com,2026-09-16,32.76,apache-2.0,card,gqa,2048,64,"GQA/MHA:2 x 8 个 KV 头 x 128 维,共 64 层",
35,qwen3-14b-awq,Qwen3-14B,AWQ单卡,AWQ,14,14,9.3,1,16,13,16,8.0,,false,false,无需卡间互联,TP=1,32,45,128,general;reasoning;coding,false,77,90,570.0,12.8,vllm/vllm-openai:v0.10.2,0.10.2,candidate,Apache-2.0,https://huggingface.co/Qwen/Qwen3-14B,"16GB卡需限制KV cache；24GB体验更稳；下载前复核镜像CUDA；上下文:官方模型卡:32,768 原生 / 131,072(需在 config.json 打开 YaRN)",Qwen/Qwen3-14B-AWQ,31c69efc29464b6bb0aee1398b5a7b50a99340c3,hf-mirror.com,2026-09-16,14.77,apache-2.0,card,gqa,2048,40,"GQA/MHA:2 x 8 个 KV 头 x 128 维,共 40 层",
30,qwen3-8b-bf16,Qwen3-8B,BF16单卡,BF16,8,8,15.3,1,24,20,24,8.0,,false,false,无需卡间互联,TP=1,32,40,128,general;coding,false,72,93,570.0,12.8,vllm/vllm-openai:v0.10.2,0.10.2,candidate,Apache-2.0,https://huggingface.co/Qwen/Qwen3-8B,"适合作为部署链路诊断模型；16GB卡建议改用AWQ或降低上下文；下载前复核镜像CUDA；上下文:官方模型卡:32,768 原生 / 131,072(需在 config.json 打开 YaRN)",Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,hf-mirror.com,2026-09-16,8.19,apache-2.0,card,gqa,2048,36,"GQA/MHA:2 x 8 个 KV 头 x 128 维,共 36 层",
