model_id,model_name,organization,total_params_b,active_params_b,context_k,modalities,workloads,license,openness,vllm_status,source,notes,verified_repo,verified_revision,verified_endpoint,verified_at,artifact_params_b,license_id,context_source,attention_kind,kv_elems_per_token_per_layer,attention_layers,attention_basis,has_recipe
deepseek-r1,DeepSeek-R1,DeepSeek,671,37,160,text,reasoning;coding;general,MIT,open-source,supported,https://huggingface.co/deepseek-ai/DeepSeek-R1,完整模型；上下文取自仓库 config.json(163840),deepseek-ai/DeepSeek-R1,56d4cbbb4d29f4355bab4b9a39ccb717a14ad5ad,hf-mirror.com,2026-09-16,684.49,mit,config,mla,576,61,"MLA:kv_lora_rank 512 + qk_rope_head_dim 64,各头共享不乘 2",
deepseek-v3,DeepSeek-V3,DeepSeek,671,37,160,text,general;coding;reasoning,DeepSeek Model Agreement,open-weights,supported,https://huggingface.co/deepseek-ai/DeepSeek-V3,MoE+MLA；HF 未打 license 标签;官方模型卡徽章写明 Model License = Model Agreement；上下文取自仓库 config.json(163840),deepseek-ai/DeepSeek-V3,e815299b0bcbac849fa540c768ef21845365c9eb,hf-mirror.com,2026-09-16,684.53,other:deepseek-model-agreement,config,,,,未记录,
deepseek-v31,DeepSeek-V3.1,DeepSeek,671,37,160,text,general;coding;reasoning,MIT,open-source,verify,https://huggingface.co/deepseek-ai,工作区候选；上下文取自仓库 config.json(163840),deepseek-ai/DeepSeek-V3.1,c0781d039fb7a1ba2abc4add0bdc293e92d2b8db,hf-mirror.com,2026-09-16,684.53,mit,config,mla,576,61,"MLA:kv_lora_rank 512 + qk_rope_head_dim 64,各头共享不乘 2",
deepseek-r1-distill-llama-70b,DeepSeek-R1-Distill-Llama-70B,DeepSeek,70,70,128,text,reasoning;coding,MIT,open-source,supported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B,上下文取自仓库 config.json(131072),deepseek-ai/DeepSeek-R1-Distill-Llama-70B,b1c0b44b4369b597ad119a196caf79a9c40e141e,hf-mirror.com,2026-09-16,70.55,mit,config,,,,未记录,
deepseek-r1-distill-qwen-32b,DeepSeek-R1-Distill-Qwen-32B,DeepSeek,32,32,128,text,reasoning;coding,MIT,open-source,supported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,上下文取自仓库 config.json(131072),deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,711ad2ea6aa40cfca18895e8aca02ab92df1a746,hf-mirror.com,2026-09-16,32.76,mit,config,,,,未记录,
deepseek-r1-distill-qwen-14b,DeepSeek-R1-Distill-Qwen-14B,DeepSeek,14,14,128,text,reasoning;coding,MIT,open-source,supported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,上下文取自仓库 config.json(131072),deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1df8507178afcc1bef68cd8c393f61a886323761,hf-mirror.com,2026-09-16,14.77,mit,config,,,,未记录,
deepseek-r1-distill-llama-8b,DeepSeek-R1-Distill-Llama-8B,DeepSeek,8,8,128,text,reasoning;coding,MIT,open-source,supported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-8B,上下文取自仓库 config.json(131072),deepseek-ai/DeepSeek-R1-Distill-Llama-8B,6a6f4aa4197940add57724a7707d069478df56b1,hf-mirror.com,2026-09-16,8.03,mit,config,,,,未记录,
deepseek-r1-distill-qwen-7b,DeepSeek-R1-Distill-Qwen-7B,DeepSeek,7,7,128,text,reasoning;coding,MIT,open-source,supported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,上下文取自仓库 config.json(131072),deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,916b56a44061fd5cd7d6a8fb632557ed4f724f60,hf-mirror.com,2026-09-16,7.62,mit,config,,,,未记录,
deepseek-r1-distill-qwen-15b,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,1.5,1.5,128,text,reasoning;edge,MIT,open-source,supported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,上下文取自仓库 config.json(131072),deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562,hf-mirror.com,2026-09-16,1.78,mit,config,,,,未记录,
qwen35-397b,Qwen3.5-397B-A17B,Qwen,397,17,256,text;image,general;reasoning;coding;multimodal,Apache-2.0,open-source,verify,https://huggingface.co/Qwen,"工作区候选；上下文取自仓库 config.json(262144)；模型卡:262,144 原生,可扩展到约 1,010,000;建议保持 ≥128K",Qwen/Qwen3.5-397B-A17B,8472618112abcbd45acbcdc58436aff4233c23f7,hf-mirror.com,2026-09-16,403.4,apache-2.0,config,hybrid-linear,1024,15,"混合线性注意力:60 层里只有 15 层是 full_attention,其余线性层的状态不随上下文增长",
